,Title,Year,Rated,Release Date,Runtime,Genre,Director,Writer,Actors,Plot,imdbRating,imdbVotes,ID,Season,Episode
31,The Bath Item Gift Hypothesis,2008,TV-14,15 Dec 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Stephen Engel (teleplay), Eric Kaplan (teleplay), Bill Prady (story), Richard Rosenstock (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard is disappointed when Penny develops an interest in an attractive physicist at the university. Meanwhile, Sheldon struggles to find an appropriate Christmas gift for Penny.",9.2,3772,tt1256021,2,11
201,The Opening Night Excitation,2015,TV-14,17 Dec 2015,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steve Holland (teleplay), Jim Reynolds (teleplay), Maria Ferrari (teleplay), Steven Molaro (story), Eric Kaplan (story), Tara Hernandez (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Professor Proton visits Sheldon in a dream and gives him advice about whether to go see the new Star wars film or spend the time with his newly reunited girlfriend Amy on her birthday. Meanwhile, Leonard, Howard and Raj try to decide who will get their extra ticket to the movie premiere.",9.2,3016,tt5143516,9,11
67,The Staircase Implementation,2010,TV-14,17 May 2010,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), David Goetsch (teleplay), Maria Ferrari (teleplay), Lee Aronsohn (story), Steven Molaro (story), Steve Holland (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard tells Penny about how he and Sheldon became roommates and what happened to the elevator.,9.1,2876,tt1648756,3,22
53,The Adhesive Duck Deficiency,2009,TV-14,16 Nov 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Bill Prady (story), David Goetsch (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny is forced to turn to Sheldon for help when she dislocates her shoulder in the bathtub. Meanwhile, the rest of the guys accidentally get stoned in the desert while waiting for a meteor shower.",9,2935,tt1536922,3,8
35,The Maternal Capacitance,2009,TV-14,09 Feb 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Richard Rosenstock (teleplay), Steven Molaro (teleplay), Chuck Lorre (story), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon hits it off with Leonard's psychoanalyst mother, but she drives Leonard and Penny to the bottle.",9,2580,tt1256025,2,15
149,The Thanksgiving Decoupling,2013,TV-14,21 Nov 2013,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Jeremy Howe (teleplay), Eric Kaplan (story), Steve Holland (story), Maria Ferrari (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The gang spend Thanksgiving at Mrs. Wolowitz's house. Howard tries to bond with his father-in-law, and a mistake from Penny's past comes back to haunt her.",8.9,2556,tt3309570,7,9
23,The Barbarian Sublimation,2008,TV-14,06 Oct 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Nicole Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon introduces Penny to online gaming, however she refuses to quit after becoming addicted.",8.9,2503,tt1256034,2,3
143,The Scavenger Vortex,2013,TV-PG,03 Oct 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Maria Ferrari (teleplay), David Goetsch (story), Eric Kaplan (story), Steve Holland (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",The gang get competitive when they are forced to take part in Raj's scavenger hunt.,8.8,2500,tt3218670,7,3
69,The Robotic Manipulation,2010,TV-14,23 Sep 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Lee Aronsohn (story), David Goetsch (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny ends up tagging along on Sheldon's first ever date with Amy, while Howard finds an unusual use for a robotic arm.",8.8,2458,tt1632224,4,1
27,The Panty Piñata Polarization,2008,TV-14,10 Nov 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Jennifer Glickman (teleplay), Steven Molaro (teleplay), Bill Prady (story), Tim Doyle (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny plans revenge when Sheldon bans her from his and Leonard's apartment, while Howard and Raj use the latest technology to try to find the house being used in ""America's Next Top Model.""",8.8,2401,tt1256038,2,7
